team,current_elo,total_matches,total_goals,total_wins,win_rate
Abkhazia,1553.2160133999864,33,54,15,0.455
Afghanistan,1331.7712439680333,147,142,36,0.245
Albania,1539.7561232420387,398,377,110,0.276
Alderney,1202.688202768362,135,73,5,0.037
Algeria,1764.5474584981837,621,958,289,0.465
American Samoa,1267.8791784165028,55,33,4,0.073
Andalusia,1546.5328748792983,13,25,8,0.615
Andorra,1187.2409899241627,229,75,14,0.061
Angola,1540.7913057802557,415,470,141,0.34
Anguilla,1188.1579903172153,91,52,7,0.077
Antigua and Barbuda,1313.6371137369222,231,306,71,0.307
Arameans Suryoye,1518.9954757511696,10,16,5,0.5
Argentina,1988.7673974253057,1077,2047,599,0.556
Armenia,1418.4380982050648,272,274,65,0.239
Artsakh,1515.5519686125008,11,32,6,0.545
Aruba,1313.8091292440947,152,199,32,0.211
Australia,1746.751836038248,585,1170,297,0.508
Austria,1728.94734958692,864,1547,368,0.426
Aymara,1484.188210821744,2,1,0,0.0
Azerbaijan,1390.1295989853177,310,238,61,0.197
Bahamas,1272.7022787985265,67,75,14,0.209
Bahrain,1523.717545837115,584,725,207,0.354
Bangladesh,1259.4687510099834,305,276,80,0.262
Barawa,1438.7695467512872,12,16,3,0.25
Barbados,1305.3015112764642,302,393,94,0.311
Basque Country,1664.3989582069512,64,164,39,0.609
Belarus,1521.3922536161967,315,363,94,0.298
Belgium,1838.3808268403993,859,1564,385,0.448
Belize,1357.4584154806716,121,133,31,0.256
Benin,1514.106867542869,325,352,84,0.258
Bermuda,1400.390243695738,198,328,68,0.343
Bhutan,1111.4421476273214,110,61,11,0.1
Biafra,1508.3814895755447,3,2,2,0.667
Bolivia,1556.9934511665424,534,545,119,0.223
Bonaire,1361.3057664493792,44,63,14,0.318
Bosnia and Herzegovina,1582.658511527005,287,393,105,0.366
Botswana,1427.680450643513,332,268,90,0.271
Brazil,1917.611360180633,1064,2315,675,0.634
British Virgin Islands,1251.4873699967968,123,114,22,0.179
Brittany,1507.56207733913,12,18,6,0.5
Brunei,1144.6030802124055,137,107,22,0.161
Bulgaria,1503.883217047811,736,1016,262,0.356
Burkina Faso,1617.8166378894691,464,580,164,0.353
Burundi,1428.930396006393,218,237,65,0.298
Cambodia,1197.0877319933245,295,330,65,0.22
Cameroon,1647.3718497439136,616,866,271,0.44
Canada,1717.3733575614003,474,617,181,0.382
Canton Ticino,1475.201534131218,5,6,1,0.2
Cape Verde,1601.0967614015476,239,262,89,0.372
Cascadia,1515.602756891726,7,23,4,0.571
Catalonia,1561.1665403222817,48,75,19,0.396
Cayman Islands,1263.5208629986546,119,117,25,0.21
Central African Republic,1410.6751888069514,138,146,29,0.21
Central Spain,1500.2367718359085,2,2,1,0.5
Chad,1334.6931776243339,138,117,26,0.188
Chagos Islands,1451.3007675203296,16,28,3,0.188
Chameria,1511.7326675824972,7,14,3,0.429
Chechnya,1486.647050570677,3,3,0,0.0
Chile,1700.5613972431192,835,1177,316,0.378
China,1532.1760441914844,702,1285,339,0.483
Colombia,1882.7936993725314,643,828,261,0.406
Comoros,1454.6242115536045,151,134,36,0.238
Congo,1404.9787403281603,406,523,134,0.33
Cook Islands,1365.4703183658912,53,43,11,0.208
Corsica,1523.2872069329067,9,10,4,0.444
Costa Rica,1648.1730927514177,724,1238,316,0.436
County of Nice,1537.0493781363807,9,19,6,0.667
Croatia,1808.6000522398779,400,694,211,0.528
Cuba,1449.8745148049773,397,532,139,0.35
Curaçao,1493.9846390008545,388,636,143,0.369
Cyprus,1373.189921918496,426,375,82,0.192
Czech Republic,1676.2562053736065,363,645,191,0.526
Czechoslovakia,1677.061447022004,520,984,236,0.454
